,lemmata,freqs,in%texts
175,jeune,524,99.80952380952381
176,lequel,524,99.80952380952381
177,lever,524,99.80952380952381
178,maintenant,524,99.80952380952381
179,me,524,99.80952380952381
180,milieu,524,99.80952380952381
181,moment,524,99.80952380952381
182,monde,524,99.80952380952381
183,montrer,524,99.80952380952381
184,mort,524,99.80952380952381
185,mot,524,99.80952380952381
186,nom,524,99.80952380952381
187,nuit,524,99.80952380952381
188,point,524,99.80952380952381
189,porte,524,99.80952380952381
190,possible,524,99.80952380952381
191,près,524,99.80952380952381
192,quatre,524,99.80952380952381
193,quitter,524,99.80952380952381
194,quoi,524,99.80952380952381
195,regard,524,99.80952380952381
196,reprendre,524,99.80952380952381
197,retourner,524,99.80952380952381
198,retrouver,524,99.80952380952381
199,servir,524,99.80952380952381
200,soir,524,99.80952380952381
201,souvenir,524,99.80952380952381
202,suite,524,99.80952380952381
203,suivre,524,99.80952380952381
204,tomber,524,99.80952380952381
205,tourner,524,99.80952380952381
206,vie,524,99.80952380952381
207,vieux,524,99.80952380952381
208,voix,524,99.80952380952381
209,ainsi,523,99.61904761904762
210,an,523,99.61904761904762
211,aucun,523,99.61904761904762
212,beaucoup,523,99.61904761904762
213,certain,523,99.61904761904762
214,chaque,523,99.61904761904762
215,compter,523,99.61904761904762
216,continuer,523,99.61904761904762
217,descendre,523,99.61904761904762
218,eau,523,99.61904761904762
219,essayer,523,99.61904761904762
220,face,523,99.61904761904762
221,fond,523,99.61904761904762
222,geste,523,99.61904761904762
223,jouer,523,99.61904761904762
224,juste,523,99.61904761904762
225,monter,523,99.61904761904762
226,noir,523,99.61904761904762
227,nous,523,99.61904761904762
228,occuper,523,99.61904761904762
229,pendant,523,99.61904761904762
230,perdre,523,99.61904761904762
231,raison,523,99.61904761904762
232,répondre,523,99.61904761904762
233,sentir,523,99.61904761904762
234,terre,523,99.61904761904762
235,ton,523,99.61904761904762
236,travers,523,99.61904761904762
237,visage,523,99.61904761904762
238,vite,523,99.61904761904762
239,vous,523,99.61904761904762
240,aimer,522,99.42857142857143
241,ami,522,99.42857142857143
242,attention,522,99.42857142857143
243,besoin,522,99.42857142857143
244,bout,522,99.42857142857143
245,compte,522,99.42857142857143
246,d'abord,522,99.42857142857143
247,disparaître,522,99.42857142857143
248,enfin,522,99.42857142857143
249,femme,522,99.42857142857143
250,idée,522,99.42857142857143
251,lieu,522,99.42857142857143
252,maison,522,99.42857142857143
253,marcher,522,99.42857142857143
254,moi,522,99.42857142857143
255,plutôt,522,99.42857142857143
256,presque,522,99.42857142857143
257,quelqu'un,522,99.42857142857143
258,reconnaître,522,99.42857142857143
259,remettre,522,99.42857142857143
260,silence,522,99.42857142857143
261,sûr,522,99.42857142857143
262,table,522,99.42857142857143
263,tant,522,99.42857142857143
264,tirer,522,99.42857142857143
265,vivre,522,99.42857142857143
266,agir,521,99.23809523809524
267,année,521,99.23809523809524
268,bord,521,99.23809523809524
269,bouche,521,99.23809523809524
270,couper,521,99.23809523809524
271,doute,521,99.23809523809524
272,fermer,521,99.23809523809524
273,gens,521,99.23809523809524
274,gros,521,99.23809523809524
275,lumière,521,99.23809523809524
276,mourir,521,99.23809523809524
277,rentrer,521,99.23809523809524
278,tu,521,99.23809523809524
279,vrai,521,99.23809523809524
280,vue,521,99.23809523809524
281,affaire,520,99.04761904761905
282,chambre,520,99.04761904761905
283,cinq,520,99.04761904761905
284,donc,520,99.04761904761905
285,dès,520,99.04761904761905
286,expliquer,520,99.04761904761905
287,façon,520,99.04761904761905
288,froid,520,99.04761904761905
289,histoire,520,99.04761904761905
290,lit,520,99.04761904761905
291,mauvais,520,99.04761904761905
292,minute,520,99.04761904761905
293,oublier,520,99.04761904761905
294,oui,520,99.04761904761905
295,paraître,520,99.04761904761905
296,pousser,520,99.04761904761905
297,qu',520,99.04761904761905
298,serrer,520,99.04761904761905
299,seulement,520,99.04761904761905
300,signe,520,99.04761904761905
301,sourire,520,99.04761904761905
302,train,520,99.04761904761905
303,vide,520,99.04761904761905
304,écouter,520,99.04761904761905
305,approcher,519,98.85714285714286
306,bruit,519,98.85714285714286
307,cause,519,98.85714285714286
308,cheveu,519,98.85714285714286
309,corps,519,98.85714285714286
310,cœur,519,98.85714285714286
311,empêcher,519,98.85714285714286
312,ensemble,519,98.85714285714286
313,garder,519,98.85714285714286
314,lire,519,98.85714285714286
315,marche,519,98.85714285714286
316,permettre,519,98.85714285714286
317,pourtant,519,98.85714285714286
318,raconter,519,98.85714285714286
319,répéter,519,98.85714285714286
320,sens,519,98.85714285714286
321,sorte,519,98.85714285714286
322,surtout,519,98.85714285714286
323,travail,519,98.85714285714286
324,traverser,519,98.85714285714286
325,épaule,519,98.85714285714286
326,apprendre,518,98.66666666666667
327,cacher,518,98.66666666666667
328,chemin,518,98.66666666666667
329,clair,518,98.66666666666667
330,courir,518,98.66666666666667
331,dix,518,98.66666666666667
332,décider,518,98.66666666666667
333,fenêtre,518,98.66666666666667
334,frapper,518,98.66666666666667
335,gagner,518,98.66666666666667
336,notre,518,98.66666666666667
337,propre,518,98.66666666666667
338,rappeler,518,98.66666666666667
339,rire,518,98.66666666666667
340,rouge,518,98.66666666666667
341,souvent,518,98.66666666666667
342,tel,518,98.66666666666667
343,toucher,518,98.66666666666667
344,bleu,517,98.47619047619047
345,boire,517,98.47619047619047
346,cent,517,98.47619047619047
347,doigt,517,98.47619047619047
348,dos,517,98.47619047619047
349,effet,517,98.47619047619047
350,enfant,517,98.47619047619047
351,glisser,517,98.47619047619047
352,importer,517,98.47619047619047
353,intérieur,517,98.47619047619047
354,manquer,517,98.47619047619047
355,mois,517,98.47619047619047
356,oreille,517,98.47619047619047
357,partie,517,98.47619047619047
358,pièce,517,98.47619047619047
359,suffire,517,98.47619047619047
360,votre,517,98.47619047619047
361,vraiment,517,98.47619047619047
362,aider,516,98.28571428571429
363,au-dessus,516,98.28571428571429
364,avancer,516,98.28571428571429
365,cas,516,98.28571428571429
366,ciel,516,98.28571428571429
367,coin,516,98.28571428571429
368,coucher,516,98.28571428571429
369,couleur,516,98.28571428571429
370,debout,516,98.28571428571429
371,dormir,516,98.28571428571429
372,installer,516,98.28571428571429
373,parce,516,98.28571428571429
374,rejoindre,516,98.28571428571429
375,remonter,516,98.28571428571429
376,route,516,98.28571428571429
377,simple,516,98.28571428571429
378,travailler,516,98.28571428571429
379,car,515,98.09523809523809
380,découvrir,515,98.09523809523809
381,endroit,515,98.09523809523809
382,feu,515,98.09523809523809
383,fille,515,98.09523809523809
384,forme,515,98.09523809523809
385,habitude,515,98.09523809523809
386,longue,515,98.09523809523809
387,lèvre,515,98.09523809523809
388,ombre,515,98.09523809523809
389,parole,515,98.09523809523809
390,reste,515,98.09523809523809
391,second,515,98.09523809523809
392,allumer,514,97.90476190476191
393,choisir,514,97.90476190476191
394,dehors,514,97.90476190476191
395,hasard,514,97.90476190476191
396,mur,514,97.90476190476191
397,peur,514,97.90476190476191
398,rencontrer,514,97.90476190476191
399,revoir,514,97.90476190476191
400,salle,514,97.90476190476191
401,te,514,97.90476190476191
402,battre,513,97.71428571428571
403,chacun,513,97.71428571428571
404,court,513,97.71428571428571
405,imaginer,513,97.71428571428571
406,lancer,513,97.71428571428571
407,manger,513,97.71428571428571
408,papier,513,97.71428571428571
409,relever,513,97.71428571428571
410,verre,513,97.71428571428571
411,assurer,512,97.52380952380952
412,conduire,512,97.52380952380952
413,front,512,97.52380952380952
414,mouvement,512,97.52380952380952
415,offrir,512,97.52380952380952
416,ordre,512,97.52380952380952
417,pencher,512,97.52380952380952
418,plusieurs,512,97.52380952380952
419,recevoir,512,97.52380952380952
420,remarquer,512,97.52380952380952
421,semaine,512,97.52380952380952
422,soudain,512,97.52380952380952
423,échapper,512,97.52380952380952
424,bois,511,97.33333333333334
425,courant,511,97.33333333333334
426,présenter,511,97.33333333333334
427,retenir,511,97.33333333333334
428,réfléchir,511,97.33333333333334
429,toi,511,97.33333333333334
430,valoir,511,97.33333333333334
431,écrire,511,97.33333333333334
432,force,510,97.14285714285714
433,gauche,510,97.14285714285714
434,plaisir,510,97.14285714285714
435,prêt,510,97.14285714285714
436,soleil,510,97.14285714285714
437,ville,510,97.14285714285714
438,éviter,510,97.14285714285714
439,-ci,509,96.95238095238096
440,aujourd'hui,509,96.95238095238096
441,autant,509,96.95238095238096
442,envie,509,96.95238095238096
443,fixer,509,96.95238095238096
444,intéresser,509,96.95238095238096
445,poche,509,96.95238095238096
446,préférer,509,96.95238095238096
447,préparer,509,96.95238095238096
448,présence,509,96.95238095238096
449,rue,509,96.95238095238096
450,simplement,509,96.95238095238096
451,éloigner,509,96.95238095238096
452,état,509,96.95238095238096
453,abandonner,508,96.76190476190476
454,ancien,508,96.76190476190476
455,charger,508,96.76190476190476
456,ensuite,508,96.76190476190476
457,jambe,508,96.76190476190476
458,lourd,508,96.76190476190476
459,moindre,508,96.76190476190476
460,refuser,508,96.76190476190476
461,ressembler,508,96.76190476190476
462,vingt,508,96.76190476190476
463,voilà,508,96.76190476190476
464,bientôt,507,96.57142857142857
465,crier,507,96.57142857142857
466,dur,507,96.57142857142857
467,entrée,507,96.57142857142857
468,esprit,507,96.57142857142857
469,grave,507,96.57142857142857
470,journée,507,96.57142857142857
471,large,507,96.57142857142857
472,lettre,507,96.57142857142857
473,libre,507,96.57142857142857
474,retour,507,96.57142857142857
475,réveiller,507,96.57142857142857
476,saisir,507,96.57142857142857
477,éclairer,507,96.57142857142857
478,ajouter,506,96.38095238095238
479,apporter,506,96.38095238095238
480,après-midi,506,96.38095238095238
481,calme,506,96.38095238095238
482,combien,506,96.38095238095238
483,durer,506,96.38095238095238
484,malgré,506,96.38095238095238
485,obliger,506,96.38095238095238
486,passage,506,96.38095238095238
487,peau,506,96.38095238095238
488,âge,506,96.38095238095238
489,accompagner,505,96.19047619047619
490,envoyer,505,96.19047619047619
491,faux,505,96.19047619047619
492,hésiter,505,96.19047619047619
493,jeu,505,96.19047619047619
494,léger,505,96.19047619047619
495,meilleur,505,96.19047619047619
496,presser,505,96.19047619047619
497,surprendre,505,96.19047619047619
498,argent,504,96.0
499,bouger,504,96.0
500,effort,504,96.0
501,emporter,504,96.0
502,fou,504,96.0
503,lui-même,504,96.0
504,mener,504,96.0
505,moyen,504,96.0
506,payer,504,96.0
507,plat,504,96.0
508,voiture,504,96.0
509,éteindre,504,96.0
510,atteindre,503,95.80952380952381
511,baisser,503,95.80952380952381
512,contraire,503,95.80952380952381
513,départ,503,95.80952380952381
514,espérer,503,95.80952380952381
515,impression,503,95.80952380952381
516,lentement,503,95.80952380952381
517,neuf,503,95.80952380952381
518,père,503,95.80952380952381
519,rouler,503,95.80952380952381
520,réponse,503,95.80952380952381
521,taire,503,95.80952380952381
522,vert,503,95.80952380952381
523,annoncer,502,95.61904761904762
524,chaud,502,95.61904761904762
525,cours,502,95.61904761904762
526,demain,502,95.61904761904762
527,pareil,502,95.61904761904762
528,pendre,502,95.61904761904762
529,six,502,95.61904761904762
530,tenter,502,95.61904761904762
531,tranquille,502,95.61904761904762
532,traîner,502,95.61904761904762
533,tôt,502,95.61904761904762
534,étonner,502,95.61904761904762
535,cesser,501,95.42857142857143
536,chance,501,95.42857142857143
537,frais,501,95.42857142857143
538,parmi,501,95.42857142857143
539,service,501,95.42857142857143
540,vague,501,95.42857142857143
541,voisin,501,95.42857142857143
542,doux,500,95.23809523809523
543,escalier,500,95.23809523809523
544,gris,500,95.23809523809523
545,mille,500,95.23809523809523
546,mère,500,95.23809523809523
547,tuer,500,95.23809523809523
548,acheter,499,95.04761904761905
549,arrière,499,95.04761904761905
550,cri,499,95.04761904761905
551,début,499,95.04761904761905
552,famille,499,95.04761904761905
553,impossible,499,95.04761904761905
554,mesure,499,95.04761904761905
555,nez,499,95.04761904761905
556,séparer,499,95.04761904761905
557,éclater,499,95.04761904761905
558,exemple,498,94.85714285714286
559,ramener,498,94.85714285714286
560,refermer,498,94.85714285714286
561,sang,498,94.85714285714286
562,tellement,498,94.85714285714286
563,vent,498,94.85714285714286
564,adresser,497,94.66666666666667
565,ailleurs,497,94.66666666666667
566,apparaître,497,94.66666666666667
567,retirer,497,94.66666666666667
568,sonner,497,94.66666666666667
569,visite,497,94.66666666666667
570,accepter,496,94.47619047619048
571,arracher,496,94.47619047619048
572,craindre,496,94.47619047619048
573,croiser,496,94.47619047619048
574,deviner,496,94.47619047619048
575,difficile,496,94.47619047619048
576,diriger,496,94.47619047619048
577,fer,496,94.47619047619048
578,heureux,496,94.47619047619048
579,lendemain,496,94.47619047619048
580,ligne,496,94.47619047619048
581,oser,496,94.47619047619048
582,ouvert,496,94.47619047619048
583,pauvre,496,94.47619047619048
584,profond,496,94.47619047619048
585,réussir,496,94.47619047619048
586,élever,496,94.47619047619048
587,d'ailleurs,495,94.28571428571428
588,dresser,495,94.28571428571428
589,détail,495,94.28571428571428
590,exister,495,94.28571428571428
591,grâce,495,94.28571428571428
592,lorsque,495,94.28571428571428
593,marquer,495,94.28571428571428
594,occasion,495,94.28571428571428
595,parvenir,495,94.28571428571428
596,reposer,495,94.28571428571428
597,conversation,494,94.0952380952381
598,douter,494,94.0952380952381
599,endormir,494,94.0952380952381
600,genou,494,94.0952380952381
601,genre,494,94.0952380952381
602,goût,494,94.0952380952381
603,hors,494,94.0952380952381
604,partout,494,94.0952380952381
605,poursuivre,494,94.0952380952381
606,sauter,494,94.0952380952381
607,sombre,494,94.0952380952381
608,trace,494,94.0952380952381
609,trait,494,94.0952380952381
610,tromper,494,94.0952380952381
611,aussitôt,493,93.9047619047619
612,droite,493,93.9047619047619
613,feuille,493,93.9047619047619
614,joue,493,93.9047619047619
615,manière,493,93.9047619047619
616,moitié,493,93.9047619047619
617,parfois,493,93.9047619047619
618,plaire,493,93.9047619047619
619,promener,493,93.9047619047619
620,sien,493,93.9047619047619
621,soulever,493,93.9047619047619
622,troisième,493,93.9047619047619
623,arbre,492,93.71428571428572
624,risquer,492,93.71428571428572
625,veille,492,93.71428571428572
626,vif,492,93.71428571428572
627,boîte,491,93.52380952380952
628,brûler,491,93.52380952380952
629,cou,491,93.52380952380952
630,couvrir,491,93.52380952380952
631,puisque,491,93.52380952380952
632,quart,491,93.52380952380952
633,Et,490,93.33333333333333
634,amuser,490,93.33333333333333
635,appuyer,490,93.33333333333333
636,carte,490,93.33333333333333
637,doucement,490,93.33333333333333
638,entier,490,93.33333333333333
639,entraîner,490,93.33333333333333
640,facile,490,93.33333333333333
641,morceau,490,93.33333333333333
642,phrase,490,93.33333333333333
643,présent,490,93.33333333333333
644,étage,490,93.33333333333333
645,étendre,490,93.33333333333333
646,chaise,489,93.14285714285714
647,dent,489,93.14285714285714
648,direction,489,93.14285714285714
649,exactement,489,93.14285714285714
650,habiter,489,93.14285714285714
651,objet,489,93.14285714285714
652,observer,489,93.14285714285714
653,soit,489,93.14285714285714
654,chien,488,92.95238095238095
655,compagnie,488,92.95238095238095
656,désert,488,92.95238095238095
657,fauteuil,488,92.95238095238095
658,forcer,488,92.95238095238095
659,garde,488,92.95238095238095
660,garçon,488,92.95238095238095
661,huit,488,92.95238095238095
662,ignorer,488,92.95238095238095
663,immobile,488,92.95238095238095
664,pays,488,92.95238095238095
665,profiter,488,92.95238095238095
666,sérieux,488,92.95238095238095
667,attirer,487,92.76190476190476
668,bureau,487,92.76190476190476
669,dépasser,487,92.76190476190476
670,là-bas,487,92.76190476190476
671,monsieur,487,92.76190476190476
672,or,487,92.76190476190476
673,sommeil,487,92.76190476190476
674,sujet,487,92.76190476190476
675,Il,486,92.57142857142857
676,appartenir,486,92.57142857142857
677,mètre,486,92.57142857142857
678,mêler,486,92.57142857142857
679,situation,486,92.57142857142857
680,accrocher,485,92.38095238095238
681,arrivée,485,92.38095238095238
682,langue,485,92.38095238095238
683,livre,485,92.38095238095238
684,lâcher,485,92.38095238095238
685,pensée,485,92.38095238095238
686,ranger,485,92.38095238095238
687,rassurer,485,92.38095238095238
688,secouer,485,92.38095238095238
689,secret,485,92.38095238095238
690,amour,484,92.19047619047619
691,enfoncer,484,92.19047619047619
692,fils,484,92.19047619047619
693,prier,484,92.19047619047619
694,prévenir,484,92.19047619047619
695,sec,484,92.19047619047619
696,importance,483,92.0
697,insister,483,92.0
698,placer,483,92.0
699,pénétrer,483,92.0
700,remplir,483,92.0
701,sauf,483,92.0
702,sol,483,92.0
703,vivant,483,92.0
704,voyage,483,92.0
705,écarter,483,92.0
706,bête,482,91.80952380952381
707,couler,482,91.80952380952381
708,excuser,482,91.80952380952381
709,inquiéter,482,91.80952380952381
710,mémoire,482,91.80952380952381
711,précis,482,91.80952380952381
712,respirer,482,91.80952380952381
713,vérité,482,91.80952380952381
714,capable,481,91.61904761904762
715,coller,481,91.61904761904762
716,enlever,481,91.61904761904762
717,inconnu,481,91.61904761904762
718,particulier,481,91.61904761904762
719,proche,481,91.61904761904762
720,rideau,481,91.61904761904762
721,silencieux,481,91.61904761904762
722,tandis,481,91.61904761904762
723,contenir,480,91.42857142857143
724,désigner,480,91.42857142857143
725,hauteur,480,91.42857142857143
726,important,480,91.42857142857143
727,preuve,480,91.42857142857143
728,proposer,480,91.42857142857143
729,rêve,480,91.42857142857143
730,étranger,480,91.42857142857143
731,agiter,479,91.23809523809524
732,café,479,91.23809523809524
733,curieux,479,91.23809523809524
734,engager,479,91.23809523809524
735,fleur,479,91.23809523809524
736,gêner,479,91.23809523809524
737,prix,479,91.23809523809524
738,sinon,479,91.23809523809524
739,cher,478,91.04761904761904
740,confiance,478,91.04761904761904
741,dégager,478,91.04761904761904
742,emmener,478,91.04761904761904
743,entourer,478,91.04761904761904
744,former,478,91.04761904761904
745,général,478,91.04761904761904
746,rond,478,91.04761904761904
747,souffle,478,91.04761904761904
748,souffler,478,91.04761904761904
749,trembler,478,91.04761904761904
750,avis,477,90.85714285714286
751,champ,477,90.85714285714286
752,eh,477,90.85714285714286
753,embrasser,477,90.85714285714286
754,image,477,90.85714285714286
755,juger,477,90.85714285714286
756,maître,477,90.85714285714286
757,naître,477,90.85714285714286
758,odeur,477,90.85714285714286
759,énorme,477,90.85714285714286
760,allonger,476,90.66666666666666
761,arranger,476,90.66666666666666
762,distinguer,476,90.66666666666666
763,figure,476,90.66666666666666
764,fumer,476,90.66666666666666
765,hier,476,90.66666666666666
766,repartir,476,90.66666666666666
767,rêver,476,90.66666666666666
768,scène,476,90.66666666666666
769,terminer,476,90.66666666666666
770,vider,476,90.66666666666666
771,ah,475,90.47619047619048
772,commander,475,90.47619047619048
773,course,475,90.47619047619048
774,drôle,475,90.47619047619048
775,faute,475,90.47619047619048
776,interrompre,475,90.47619047619048
777,plonger,475,90.47619047619048
778,pointe,475,90.47619047619048
779,poitrine,475,90.47619047619048
780,sac,475,90.47619047619048
781,épais,475,90.47619047619048
782,Dieu,474,90.28571428571428
783,cuisine,474,90.28571428571428
784,différent,474,90.28571428571428
785,naturel,474,90.28571428571428
786,prêter,474,90.28571428571428
787,quinze,474,90.28571428571428
788,sortie,474,90.28571428571428
789,taille,474,90.28571428571428
790,avance,473,90.0952380952381
791,fil,473,90.0952380952381
792,glace,473,90.0952380952381
793,intention,473,90.0952380952381
794,pierre,473,90.0952380952381
795,posséder,473,90.0952380952381
796,rare,473,90.0952380952381
797,robe,473,90.0952380952381
798,rose,473,90.0952380952381
799,éclat,473,90.0952380952381
800,écraser,473,90.0952380952381
801,adresse,472,89.90476190476191
802,double,472,89.90476190476191
803,fatiguer,472,89.90476190476191
804,ramasser,472,89.90476190476191
805,sentiment,472,89.90476190476191
806,triste,472,89.90476190476191
807,brusquement,471,89.71428571428571
808,déposer,471,89.71428571428571
809,espoir,471,89.71428571428571
810,joli,471,89.71428571428571
811,larme,471,89.71428571428571
812,net,471,89.71428571428571
813,intérêt,470,89.52380952380953
814,inutile,470,89.52380952380953
815,jardin,470,89.52380952380953
816,malade,470,89.52380952380953
817,prévoir,470,89.52380952380953
818,surprise,470,89.52380952380953
819,amener,469,89.33333333333333
820,conscience,469,89.33333333333333
821,couloir,469,89.33333333333333
822,expression,469,89.33333333333333
823,liser,469,89.33333333333333
824,pleurer,469,89.33333333333333
825,prononcer,469,89.33333333333333
826,rapport,469,89.33333333333333
827,représenter,469,89.33333333333333
828,seconde,469,89.33333333333333
829,surveiller,469,89.33333333333333
830,avouer,468,89.14285714285714
831,considérer,468,89.14285714285714
832,existence,468,89.14285714285714
833,ferme,468,89.14285714285714
834,interroger,468,89.14285714285714
835,rencontre,468,89.14285714285714
836,complet,467,88.95238095238095
837,dessus,467,88.95238095238095
838,disposer,467,88.95238095238095
839,hausser,467,88.95238095238095
840,jaune,467,88.95238095238095
841,jurer,467,88.95238095238095
842,nécessaire,467,88.95238095238095
843,souffrir,467,88.95238095238095
844,supporter,467,88.95238095238095
845,type,467,88.95238095238095
846,vêtement,467,88.95238095238095
847,auquel,466,88.76190476190476
848,connaissance,466,88.76190476190476
849,douleur,466,88.76190476190476
850,hôtel,466,88.76190476190476
851,regretter,466,88.76190476190476
852,remercier,466,88.76190476190476
853,supposer,466,88.76190476190476
854,éprouver,466,88.76190476190476
855,Mais,465,88.57142857142857
856,justement,465,88.57142857142857
857,livrer,465,88.57142857142857
858,nul,465,88.57142857142857
859,obtenir,465,88.57142857142857
860,plan,465,88.57142857142857
861,prochain,465,88.57142857142857
862,rapide,465,88.57142857142857
863,siège,465,88.57142857142857
864,briller,464,88.38095238095238
865,casser,464,88.38095238095238
866,habiller,464,88.38095238095238
867,immense,464,88.38095238095238
868,inquiet,464,88.38095238095238
869,lampe,464,88.38095238095238
870,poids,464,88.38095238095238
871,promettre,464,88.38095238095238
872,vendre,464,88.38095238095238
873,étroit,464,88.38095238095238
874,auprès,463,88.19047619047619
875,cinquante,463,88.19047619047619
876,débarrasser,463,88.19047619047619
877,lointain,463,88.19047619047619
878,propos,463,88.19047619047619
879,rapprocher,463,88.19047619047619
880,somme,463,88.19047619047619
881,étrange,463,88.19047619047619
882,événement,463,88.19047619047619
883,appel,462,88.0
884,content,462,88.0
885,contenter,462,88.0
886,merci,462,88.0
887,pluie,462,88.0
888,Un,461,87.80952380952381
889,but,461,87.80952380952381
890,effacer,461,87.80952380952381
891,examiner,461,87.80952380952381
892,figurer,461,87.80952380952381
893,planter,461,87.80952380952381
894,précipiter,461,87.80952380952381
895,reculer,461,87.80952380952381
896,voler,461,87.80952380952381
897,distance,460,87.61904761904762
898,quartier,460,87.61904761904762
899,saluer,460,87.61904761904762
900,autrement,459,87.42857142857143
901,chemise,459,87.42857142857143
902,dîner,459,87.42857142857143
903,gorge,459,87.42857142857143
904,groupe,459,87.42857142857143
905,humain,459,87.42857142857143
906,paquet,459,87.42857142857143
907,produire,459,87.42857142857143
908,soirée,459,87.42857142857143
909,vitre,459,87.42857142857143
910,défendre,458,87.23809523809524
911,déjeuner,458,87.23809523809524
912,fouiller,458,87.23809523809524
913,franchir,458,87.23809523809524
914,frère,458,87.23809523809524
915,mince,458,87.23809523809524
916,peser,458,87.23809523809524
917,pâle,458,87.23809523809524
918,par-dessus,457,87.04761904761905
919,quant,457,87.04761904761905
920,sept,457,87.04761904761905
921,silhouette,457,87.04761904761905
922,ventre,457,87.04761904761905
923,absence,456,86.85714285714286
924,espace,456,86.85714285714286
925,nu,456,86.85714285714286
926,poste,456,86.85714285714286
927,protéger,456,86.85714285714286
928,recommencer,456,86.85714285714286
929,sourd,456,86.85714285714286
930,trente,456,86.85714285714286
931,aide,455,86.66666666666667
932,bref,455,86.66666666666667
933,d'après,455,86.66666666666667
934,déchirer,455,86.66666666666667
935,espèce,455,86.66666666666667
936,franc,455,86.66666666666667
937,indiquer,455,86.66666666666667
938,poing,455,86.66666666666667
