,lemmata,freqs,in%texts
0,air,525,100.0
1,aller,525,100.0
2,appeler,525,100.0
3,après,525,100.0
4,arriver,525,100.0
5,arrêter,525,100.0
6,attendre,525,100.0
7,au,525,100.0
8,aussi,525,100.0
9,autre,525,100.0
10,avant,525,100.0
11,avec,525,100.0
12,avoir,525,100.0
13,bien,525,100.0
14,ce,525,100.0
15,cela,525,100.0
16,celui,525,100.0
17,changer,525,100.0
18,chercher,525,100.0
19,chez,525,100.0
20,chose,525,100.0
21,comme,525,100.0
22,commencer,525,100.0
23,comprendre,525,100.0
24,connaître,525,100.0
25,contre,525,100.0
26,coup,525,100.0
27,croire,525,100.0
28,côté,525,100.0
29,dans,525,100.0
30,de,525,100.0
31,demander,525,100.0
32,depuis,525,100.0
33,dernier,525,100.0
34,deux,525,100.0
35,devant,525,100.0
36,devoir,525,100.0
37,dire,525,100.0
38,donner,525,100.0
39,droit,525,100.0
40,du,525,100.0
41,déjà,525,100.0
42,elle,525,100.0
43,en,525,100.0
44,encore,525,100.0
45,entendre,525,100.0
46,entre,525,100.0
47,entrer,525,100.0
48,et,525,100.0
49,eux,525,100.0
50,faire,525,100.0
51,falloir,525,100.0
52,fin,525,100.0
53,finir,525,100.0
54,fois,525,100.0
55,fort,525,100.0
56,grand,525,100.0
57,haut,525,100.0
58,il,525,100.0
59,jamais,525,100.0
60,je,525,100.0
61,jour,525,100.0
62,jusque,525,100.0
63,la,525,100.0
64,laisser,525,100.0
65,le,525,100.0
66,leur,525,100.0
67,loin,525,100.0
68,long,525,100.0
69,longtemps,525,100.0
70,lui,525,100.0
71,là,525,100.0
72,main,525,100.0
73,mais,525,100.0
74,mal,525,100.0
75,matin,525,100.0
76,mettre,525,100.0
77,mieux,525,100.0
78,moins,525,100.0
79,mon,525,100.0
80,même,525,100.0
81,ne,525,100.0
82,ni,525,100.0
83,non,525,100.0
84,nouveau,525,100.0
85,on,525,100.0
86,ou,525,100.0
87,ouvrir,525,100.0
88,où,525,100.0
89,par,525,100.0
90,parler,525,100.0
91,part,525,100.0
92,partir,525,100.0
93,pas,525,100.0
94,passer,525,100.0
95,peine,525,100.0
96,penser,525,100.0
97,personne,525,100.0
98,petit,525,100.0
99,peu,525,100.0
100,peut-être,525,100.0
101,pied,525,100.0
102,place,525,100.0
103,plein,525,100.0
104,plus,525,100.0
105,porter,525,100.0
106,poser,525,100.0
107,pour,525,100.0
108,pourquoi,525,100.0
109,pouvoir,525,100.0
110,premier,525,100.0
111,prendre,525,100.0
112,puis,525,100.0
113,quand,525,100.0
114,que,525,100.0
115,quel,525,100.0
116,quelque,525,100.0
117,question,525,100.0
118,qui,525,100.0
119,regarder,525,100.0
120,rendre,525,100.0
121,rester,525,100.0
122,revenir,525,100.0
123,rien,525,100.0
124,sans,525,100.0
125,savoir,525,100.0
126,se,525,100.0
127,sembler,525,100.0
128,seul,525,100.0
129,si,525,100.0
130,son,525,100.0
131,sortir,525,100.0
132,sous,525,100.0
133,sur,525,100.0
134,tard,525,100.0
135,temps,525,100.0
136,tendre,525,100.0
137,tenir,525,100.0
138,toujours,525,100.0
139,tour,525,100.0
140,tout,525,100.0
141,trois,525,100.0
142,trop,525,100.0
143,trouver,525,100.0
144,très,525,100.0
145,tête,525,100.0
146,un,525,100.0
147,venir,525,100.0
148,vers,525,100.0
149,voir,525,100.0
150,vouloir,525,100.0
151,y,525,100.0
152,à,525,100.0
153,être,525,100.0
154,œil,525,100.0
155,alors,524,99.80952380952381
156,apercevoir,524,99.80952380952381
157,asseoir,524,99.80952380952381
158,assez,524,99.80952380952381
159,autour,524,99.80952380952381
160,bas,524,99.80952380952381
161,beau,524,99.80952380952381
162,blanc,524,99.80952380952381
163,bon,524,99.80952380952381
164,bras,524,99.80952380952381
165,comment,524,99.80952380952381
166,derrière,524,99.80952380952381
167,devenir,524,99.80952380952381
168,dont,524,99.80952380952381
169,fait,524,99.80952380952381
170,heure,524,99.80952380952381
171,homme,524,99.80952380952381
172,ici,524,99.80952380952381
173,instant,524,99.80952380952381
174,jeter,524,99.80952380952381
