,lower-words,in%texts
257,empêche,100.0
258,empêcher,100.0
259,en,100.0
260,encore,100.0
261,endroit,100.0
262,enfant,100.0
263,enfants,100.0
264,enfin,100.0
265,ensemble,100.0
266,ensuite,100.0
267,entend,100.0
268,entendre,100.0
269,entendu,100.0
270,entre,100.0
271,entrée,100.0
272,envie,100.0
273,es,100.0
274,esprit,100.0
275,essayer,100.0
276,est,100.0
277,et,100.0
278,eu,100.0
279,eux,100.0
280,exemple,100.0
281,expliquer,100.0
282,face,100.0
283,faim,100.0
284,faire,100.0
285,fais,100.0
286,faisant,100.0
287,fait,100.0
288,faites,100.0
289,faits,100.0
290,famille,100.0
291,fatigue,100.0
292,faudrait,100.0
293,faut,100.0
294,faute,100.0
295,fauteuils,100.0
296,faux,100.0
297,façon,100.0
298,femme,100.0
299,femmes,100.0
300,fenêtre,100.0
301,fenêtres,100.0
302,fer,100.0
303,feu,100.0
304,figure,100.0
305,fil,100.0
306,fille,100.0
307,filles,100.0
308,fin,100.0
309,fini,100.0
310,finit,100.0
311,fleurs,100.0
312,fois,100.0
313,fond,100.0
314,font,100.0
315,force,100.0
316,forcé,100.0
317,forme,100.0
318,fort,100.0
319,foule,100.0
320,frais,100.0
321,froid,100.0
322,front,100.0
323,furieux,100.0
324,gagner,100.0
325,garde,100.0
326,gare,100.0
327,garçon,100.0
328,gauche,100.0
329,genoux,100.0
330,genre,100.0
331,gens,100.0
332,geste,100.0
333,gestes,100.0
334,grand,100.0
335,grande,100.0
336,grandes,100.0
337,grands,100.0
338,grave,100.0
339,gris,100.0
340,grise,100.0
341,gros,100.0
342,grosse,100.0
343,grosses,100.0
344,groupes,100.0
345,grâce,100.0
346,guère,100.0
347,gêne,100.0
348,habitude,100.0
349,hasard,100.0
350,haut,100.0
351,hein,100.0
352,heure,100.0
353,heures,100.0
354,histoire,100.0
355,homme,100.0
356,hommes,100.0
357,honneur,100.0
358,hors,100.0
359,huit,100.0
360,hôtel,100.0
361,ici,100.0
362,idée,100.0
363,il,100.0
364,ils,100.0
365,imaginer,100.0
366,immobile,100.0
367,importance,100.0
368,importe,100.0
369,impossible,100.0
370,indifférent,100.0
371,inquiet,100.0
372,inquiète,100.0
373,inquiétude,100.0
374,instant,100.0
375,j,100.0
376,jamais,100.0
377,jambes,100.0
378,jardin,100.0
379,jaune,100.0
380,je,100.0
381,jeté,100.0
382,jeu,100.0
383,jeune,100.0
384,joie,100.0
385,jolie,100.0
386,joue,100.0
387,jouer,100.0
388,joues,100.0
389,jour,100.0
390,journaux,100.0
391,journée,100.0
392,jours,100.0
393,jusqu,100.0
394,jusque,100.0
395,juste,100.0
396,l,100.0
397,la,100.0
398,laisser,100.0
