,raw-words,in%texts
313,dis,100.0
314,disait,100.0
315,dit,100.0
316,dites,100.0
317,dix,100.0
318,doigts,100.0
319,dois,100.0
320,doit,100.0
321,donc,100.0
322,donne,100.0
323,donner,100.0
324,donné,100.0
325,dont,100.0
326,dormir,100.0
327,dos,100.0
328,double,100.0
329,doucement,100.0
330,doute,100.0
331,droit,100.0
332,droite,100.0
333,drôle,100.0
334,du,100.0
335,dure,100.0
336,dès,100.0
337,début,100.0
338,décidé,100.0
339,décision,100.0
340,décor,100.0
341,déjà,100.0
342,désignant,100.0
343,détails,100.0
344,dû,100.0
345,eau,100.0
346,effet,100.0
347,effort,100.0
348,elle,100.0
349,elles,100.0
350,empêche,100.0
351,empêcher,100.0
352,en,100.0
353,encore,100.0
354,endroit,100.0
355,enfant,100.0
356,enfants,100.0
357,enfin,100.0
358,ensemble,100.0
359,ensuite,100.0
360,entend,100.0
361,entendre,100.0
362,entendu,100.0
363,entre,100.0
364,entrée,100.0
365,envie,100.0
366,es,100.0
367,esprit,100.0
368,essayer,100.0
369,est,100.0
370,et,100.0
371,eu,100.0
372,eux,100.0
373,exemple,100.0
374,expliquer,100.0
375,face,100.0
376,faim,100.0
377,faire,100.0
378,fais,100.0
379,faisant,100.0
380,fait,100.0
381,faites,100.0
382,faits,100.0
383,famille,100.0
384,fatigue,100.0
385,faudrait,100.0
386,faut,100.0
387,faute,100.0
388,fauteuils,100.0
389,faux,100.0
390,façon,100.0
391,femme,100.0
392,femmes,100.0
393,fenêtre,100.0
394,fenêtres,100.0
395,fer,100.0
396,feu,100.0
397,figure,100.0
398,fil,100.0
399,fille,100.0
400,filles,100.0
401,fin,100.0
402,fini,100.0
403,finit,100.0
404,fleurs,100.0
405,fois,100.0
406,fond,100.0
407,font,100.0
408,force,100.0
409,forcé,100.0
410,forme,100.0
411,fort,100.0
412,foule,100.0
413,frais,100.0
414,froid,100.0
415,front,100.0
416,gagner,100.0
417,garde,100.0
418,gare,100.0
419,garçon,100.0
420,gauche,100.0
421,genoux,100.0
422,genre,100.0
423,gens,100.0
424,geste,100.0
425,gestes,100.0
426,grand,100.0
427,grande,100.0
428,grandes,100.0
429,grands,100.0
430,grave,100.0
431,gris,100.0
432,grise,100.0
433,gros,100.0
434,grosse,100.0
435,grosses,100.0
436,groupes,100.0
437,grâce,100.0
438,guère,100.0
439,gêne,100.0
440,habitude,100.0
441,hasard,100.0
442,haut,100.0
443,heure,100.0
444,heures,100.0
445,histoire,100.0
446,homme,100.0
447,hommes,100.0
448,honneur,100.0
449,hors,100.0
450,huit,100.0
451,hôtel,100.0
452,ici,100.0
453,idée,100.0
454,il,100.0
455,ils,100.0
456,imaginer,100.0
457,immobile,100.0
458,importance,100.0
459,importe,100.0
460,impossible,100.0
461,indifférent,100.0
462,inquiet,100.0
463,inquiète,100.0
464,inquiétude,100.0
465,instant,100.0
466,j,100.0
467,jamais,100.0
468,jambes,100.0
469,jardin,100.0
470,jaune,100.0
471,je,100.0
472,jeté,100.0
473,jeu,100.0
474,jeune,100.0
475,joie,100.0
476,jolie,100.0
477,joue,100.0
478,jouer,100.0
479,joues,100.0
480,jour,100.0
481,journaux,100.0
482,jours,100.0
483,jusqu,100.0
484,juste,100.0
485,l,100.0
486,la,100.0
487,laisser,100.0
488,laissé,100.0
489,lampes,100.0
490,laquelle,100.0
491,large,100.0
492,larmes,100.0
493,laver,100.0
494,le,100.0
495,lendemain,100.0
496,lentement,100.0
497,lequel,100.0
498,les,100.0
499,leur,100.0
500,leurs,100.0
501,lever,100.0
502,levé,100.0
503,libre,100.0
504,lieu,100.0
505,lignes,100.0
506,lire,100.0
507,lit,100.0
508,livres,100.0
509,loin,100.0
510,long,100.0
511,longtemps,100.0
512,longue,100.0
513,lors,100.0
514,lourd,100.0
515,lourds,100.0
516,lui,100.0
517,lumière,100.0
518,là,100.0
519,lèvres,100.0
520,léger,100.0
521,m,100.0
522,ma,100.0
523,machinalement,100.0
524,maigre,100.0
525,main,100.0
526,mains,100.0
527,maintenant,100.0
528,mais,100.0
529,maison,100.0
530,maisons,100.0
531,mal,100.0
532,malade,100.0
533,malgré,100.0
534,malheur,100.0
535,manger,100.0
536,marche,100.0
537,marcher,100.0
538,marches,100.0
539,mariage,100.0
540,matin,100.0
541,mauvais,100.0
542,mauvaises,100.0
543,me,100.0
544,menton,100.0
545,mes,100.0
546,met,100.0
547,mettait,100.0
548,mettre,100.0
549,mi,100.0
550,mieux,100.0
551,milieu,100.0
552,mille,100.0
553,mince,100.0
554,minuit,100.0
555,minutes,100.0
556,mis,100.0
557,mise,100.0
558,moi,100.0
559,moindre,100.0
560,moins,100.0
561,mois,100.0
562,moitié,100.0
563,moment,100.0
564,mon,100.0
565,monde,100.0
566,montre,100.0
567,mort,100.0
568,mot,100.0
569,mots,100.0
570,moyenne,100.0
571,mur,100.0
572,murs,100.0
573,mère,100.0
574,mètres,100.0
575,même,100.0
576,mêmes,100.0
577,n,100.0
578,ne,100.0
579,neuf,100.0
580,ni,100.0
581,noir,100.0
582,noire,100.0
583,nom,100.0
584,noms,100.0
585,non,100.0
586,nos,100.0
587,nous,100.0
588,nouveau,100.0
589,nouvelle,100.0
590,nouvelles,100.0
591,nuit,100.0
592,occasion,100.0
593,occupe,100.0
594,ombre,100.0
595,on,100.0
596,ont,100.0
597,onze,100.0
598,or,100.0
599,ordre,100.0
600,ou,100.0
601,oui,100.0
602,ouvert,100.0
603,ouvrir,100.0
604,où,100.0
605,papier,100.0
606,par,100.0
607,paraît,100.0
608,parce,100.0
609,parfois,100.0
610,parlait,100.0
611,parle,100.0
612,parler,100.0
613,parlé,100.0
614,parmi,100.0
615,parole,100.0
616,part,100.0
617,parti,100.0
618,particulier,100.0
619,partie,100.0
620,partir,100.0
621,partout,100.0
622,pas,100.0
623,passage,100.0
624,passant,100.0
625,passe,100.0
626,passent,100.0
627,passer,100.0
628,passé,100.0
629,payer,100.0
630,pays,100.0
631,paysage,100.0
632,peau,100.0
633,peine,100.0
634,pendant,100.0
635,pense,100.0
636,pensé,100.0
637,pensée,100.0
638,perdre,100.0
639,perdu,100.0
640,personne,100.0
641,personnes,100.0
642,petit,100.0
643,petite,100.0
644,petites,100.0
645,petits,100.0
646,peu,100.0
647,peur,100.0
648,peut,100.0
649,peut_être,100.0
650,peux,100.0
651,pied,100.0
652,pieds,100.0
653,pis,100.0
654,piste,100.0
655,pièces,100.0
656,place,100.0
657,plaisir,100.0
658,plan,100.0
659,plaît,100.0
660,plein,100.0
661,pleine,100.0
662,pleins,100.0
663,pluie,100.0
664,plupart,100.0
665,plus,100.0
666,plusieurs,100.0
667,plutôt,100.0
668,poche,100.0
669,poches,100.0
670,poids,100.0
671,point,100.0
672,poitrine,100.0
673,police,100.0
674,portait,100.0
675,portant,100.0
676,porte,100.0
677,porter,100.0
678,portes,100.0
679,porté,100.0
680,possible,100.0
681,pour,100.0
682,pourquoi,100.0
683,pourrait,100.0
684,pourtant,100.0
685,poussé,100.0
686,pouvez,100.0
687,premier,100.0
688,premiers,100.0
689,première,100.0
690,prend,100.0
691,prendre,100.0
692,presque,100.0
693,preuve,100.0
694,pris,100.0
695,prison,100.0
696,proche,100.0
697,propre,100.0
698,près,100.0
699,préfère,100.0
700,préféré,100.0
701,préparait,100.0
702,préparer,100.0
703,présence,100.0
704,prêt,100.0
705,pu,100.0
706,puis,100.0
707,puisqu,100.0
708,puisque,100.0
709,père,100.0
710,qu,100.0
711,quand,100.0
712,quarante,100.0
713,quartier,100.0
714,quatre,100.0
715,que,100.0
716,quel,100.0
717,quelle,100.0
718,quelqu,100.0
719,quelque,100.0
720,quelques,100.0
721,question,100.0
722,questions,100.0
723,qui,100.0
724,quinze,100.0
725,quitté,100.0
726,quoi,100.0
727,raide,100.0
728,raison,100.0
729,rappeler,100.0
730,rapport,100.0
731,rarement,100.0
732,rasé,100.0
733,reconnu,100.0
734,regard,100.0
735,regardant,100.0
736,regarde,100.0
737,regarder,100.0
738,rejoindre,100.0
739,remercie,100.0
740,rencontre,100.0
741,rendre,100.0
742,rentrer,100.0
743,reste,100.0
744,rester,100.0
745,retiré,100.0
746,retour,100.0
747,retrouver,100.0
748,revenait,100.0
749,revenir,100.0
750,revenu,100.0
751,reçu,100.0
752,rideau,100.0
753,ridicule,100.0
754,rien,100.0
755,rire,100.0
756,risque,100.0
757,robe,100.0
758,rouge,100.0
759,rouges,100.0
760,route,100.0
761,rue,100.0
762,rues,100.0
763,réfléchir,100.0
764,répondre,100.0
765,s,100.0
766,sa,100.0
767,sais,100.0
768,sait,100.0
769,salle,100.0
770,sang,100.0
771,sans,100.0
772,sauf,100.0
773,savent,100.0
774,savez,100.0
775,savoir,100.0
776,scène,100.0
777,se,100.0
778,sec,100.0
779,second,100.0
780,seconde,100.0
781,semaine,100.0
782,semaines,100.0
783,semble,100.0
784,sens,100.0
785,sept,100.0
786,sera,100.0
787,serai,100.0
788,serait,100.0
789,serre,100.0
790,sert,100.0
791,service,100.0
792,servir,100.0
793,ses,100.0
794,seul,100.0
795,seule,100.0
796,seulement,100.0
797,seuls,100.0
798,si,100.0
799,signe,100.0
800,silence,100.0
801,simple,100.0
802,sinon,100.0
803,six,100.0
804,siège,100.0
805,soir,100.0
806,soirs,100.0
807,soirée,100.0
808,soit,100.0
809,soleil,100.0
810,solide,100.0
811,somme,100.0
812,sommeil,100.0
813,sommes,100.0
814,son,100.0
815,sonnerie,100.0
816,sont,100.0
817,sort,100.0
818,sorte,100.0
819,sortir,100.0
820,soudain,100.0
821,sourcils,100.0
822,souriant,100.0
823,sourire,100.0
824,sourit,100.0
825,sous,100.0
826,souvenir,100.0
827,souvent,100.0
828,su,100.0
829,sueur,100.0
830,suffit,100.0
831,suis,100.0
832,suite,100.0
833,suivi,100.0
834,suivre,100.0
835,sujet,100.0
836,sur,100.0
837,surtout,100.0
838,sûr,100.0
839,sœur,100.0
840,t,100.0
841,taches,100.0
842,taire,100.0
843,taisait,100.0
844,tant,100.0
845,tapis,100.0
846,tard,100.0
847,tas,100.0
848,tasse,100.0
849,te,100.0
850,telle,100.0
851,tellement,100.0
852,temps,100.0
853,tenait,100.0
854,tendu,100.0
855,tenir,100.0
856,tenue,100.0
857,terre,100.0
858,tes,100.0
859,thé,100.0
860,tient,100.0
861,tirer,100.0
862,titre,100.0
863,toi,100.0
864,toile,100.0
865,tombait,100.0
866,tomber,100.0
867,tombé,100.0
868,ton,100.0
869,tort,100.0
870,toujours,100.0
871,tour,100.0
872,tous,100.0
873,tout,100.0
874,toute,100.0
875,toutes,100.0
876,train,100.0
877,traits,100.0
878,tranquillement,100.0
879,travail,100.0
880,travers,100.0
881,traverser,100.0
882,trente,100.0
883,trois,100.0
884,troisième,100.0
885,trop,100.0
886,trottoir,100.0
887,trouvait,100.0
888,trouve,100.0
889,trouver,100.0
890,trouvé,100.0
891,très,100.0
892,tu,100.0
893,type,100.0
894,tête,100.0
895,têtes,100.0
896,tôt,100.0
897,un,100.0
898,une,100.0
899,uns,100.0
900,va,100.0
901,vague,100.0
902,vain,100.0
903,vais,100.0
904,vas,100.0
905,vaut,100.0
906,veille,100.0
907,venait,100.0
908,venir,100.0
909,venu,100.0
910,verre,100.0
911,verrez,100.0
912,vers,100.0
913,verte,100.0
914,veston,100.0
915,veut,100.0
916,veux,100.0
917,vide,100.0
918,vie,100.0
919,vieille,100.0
920,viens,100.0
921,vient,100.0
922,vieux,100.0
923,village,100.0
924,ville,100.0
925,vin,100.0
926,vingt,100.0
927,visage,100.0
928,visite,100.0
929,visiter,100.0
930,vite,100.0
931,vivre,100.0
932,voilà,100.0
933,voir,100.0
934,vois,100.0
935,voisin,100.0
936,voit,100.0
937,voiture,100.0
938,voitures,100.0
939,voix,100.0
940,vont,100.0
941,voudrais,100.0
942,voudrait,100.0
943,voulait,100.0
944,voulez,100.0
945,vouloir,100.0
946,vous,100.0
947,voyage,100.0
948,voyant,100.0
949,voyez,100.0
950,vrai,100.0
951,vraiment,100.0
952,vu,100.0
953,vue,100.0
954,vérité,100.0
955,y,100.0
956,yeux,100.0
957,Ça,100.0
958,à,100.0
959,âge,100.0
960,ça,100.0
961,écoutait,100.0
962,électrique,100.0
963,épaules,100.0
964,étaient,100.0
965,était,100.0
966,étant,100.0
967,état,100.0
968,été,100.0
969,être,100.0
970,œil,100.0
971,Allô,83.33333333333334
972,Attendez,83.33333333333334
973,Car,83.33333333333334
974,Ces,83.33333333333334
975,Chacun,83.33333333333334
976,Chez,83.33333333333334
977,Cinq,83.33333333333334
978,Demain,83.33333333333334
979,Des,83.33333333333334
980,Dites,83.33333333333334
981,Excusez,83.33333333333334
982,France,83.33333333333334
983,Hier,83.33333333333334
984,Ici,83.33333333333334
985,Juste,83.33333333333334
986,Là,83.33333333333334
987,Maintenant,83.33333333333334
988,Merci,83.33333333333334
989,Ne,83.33333333333334
990,Nous,83.33333333333334
991,Où,83.33333333333334
992,P,83.33333333333334
993,Parfois,83.33333333333334
994,Paris,83.33333333333334
995,Pensez,83.33333333333334
996,Peut,83.33333333333334
997,Pourquoi,83.33333333333334
998,Presque,83.33333333333334
999,Quelqu,83.33333333333334
1000,Quelque,83.33333333333334
1001,Quels,83.33333333333334
1002,Quoi,83.33333333333334
1003,Reste,83.33333333333334
1004,Sauf,83.33333333333334
1005,Seine,83.33333333333334
1006,Tiens,83.33333333333334
1007,Toi,83.33333333333334
1008,Toute,83.33333333333334
1009,Très,83.33333333333334
1010,Va,83.33333333333334
1011,Voici,83.33333333333334
1012,absence,83.33333333333334
1013,accent,83.33333333333334
1014,accord,83.33333333333334
1015,acheté,83.33333333333334
1016,adresse,83.33333333333334
1017,adresser,83.33333333333334
1018,afin,83.33333333333334
1019,agent,83.33333333333334
1020,agents,83.33333333333334
1021,agiter,83.33333333333334
1022,aider,83.33333333333334
1023,aille,83.33333333333334
1024,aimait,83.33333333333334
1025,aimerais,83.33333333333334
1026,aimé,83.33333333333334
1027,ait,83.33333333333334
1028,alcool,83.33333333333334
1029,alla,83.33333333333334
1030,allaient,83.33333333333334
1031,allais,83.33333333333334
1032,allez,83.33333333333334
1033,allumer,83.33333333333334
1034,allure,83.33333333333334
1035,allés,83.33333333333334
1036,amies,83.33333333333334
1037,amis,83.33333333333334
1038,ancien,83.33333333333334
1039,anciens,83.33333333333334
1040,anglais,83.33333333333334
1041,angoisse,83.33333333333334
1042,annonce,83.33333333333334
1043,annonça,83.33333333333334
1044,aperçu,83.33333333333334
1045,aperçut,83.33333333333334
1046,appareils,83.33333333333334
1047,apparente,83.33333333333334
1048,appelait,83.33333333333334
1049,appels,83.33333333333334
1050,appris,83.33333333333334
1051,approcha,83.33333333333334
1052,approché,83.33333333333334
1053,arme,83.33333333333334
1054,armé,83.33333333333334
1055,arriva,83.33333333333334
1056,arrivés,83.33333333333334
1057,arrêt,83.33333333333334
1058,arrêta,83.33333333333334
1059,arrêtait,83.33333333333334
1060,arrêter,83.33333333333334
1061,arrêté,83.33333333333334
1062,aspect,83.33333333333334
1063,assisté,83.33333333333334
1064,assurer,83.33333333333334
1065,atelier,83.33333333333334
1066,atteindre,83.33333333333334
1067,atteint,83.33333333333334
1068,attendant,83.33333333333334
1069,attendit,83.33333333333334
1070,attends,83.33333333333334
1071,auparavant,83.33333333333334
1072,aurais,83.33333333333334
1073,auriez,83.33333333333334
1074,aussitôt,83.33333333333334
1075,auto,83.33333333333334
1076,autobus,83.33333333333334
1077,autrement,83.33333333333334
1078,avance,83.33333333333334
1079,avancer,83.33333333333334
1080,avançait,83.33333333333334
1081,aviez,83.33333333333334
1082,avion,83.33333333333334
1083,avions,83.33333333333334
1084,avocat,83.33333333333334
1085,avons,83.33333333333334
1086,balles,83.33333333333334
1087,bande,83.33333333333334
1088,banque,83.33333333333334
1089,base,83.33333333333334
1090,basse,83.33333333333334
1091,beaux,83.33333333333334
1092,billets,83.33333333333334
1093,blanches,83.33333333333334
1094,bleue,83.33333333333334
1095,bloc,83.33333333333334
1096,blond,83.33333333333334
1097,boit,83.33333333333334
1098,bonheur,83.33333333333334
1099,bonnes,83.33333333333334
1100,bons,83.33333333333334
1101,bords,83.33333333333334
1102,bouche,83.33333333333334
1103,bouffées,83.33333333333334
1104,bouger,83.33333333333334
1105,boule,83.33333333333334
1106,bourré,83.33333333333334
1107,bouteille,83.33333333333334
1108,bouteilles,83.33333333333334
1109,bouton,83.33333333333334
1110,bouts,83.33333333333334
1111,boîte,83.33333333333334
1112,brave,83.33333333333334
1113,brusquement,83.33333333333334
1114,brutalement,83.33333333333334
1115,bureau,83.33333333333334
1116,but,83.33333333333334
1117,buté,83.33333333333334
1118,buvait,83.33333333333334
1119,bâtiments,83.33333333333334
1120,bête,83.33333333333334
1121,cache,83.33333333333334
1122,cacher,83.33333333333334
1123,caché,83.33333333333334
1124,cadre,83.33333333333334
1125,café,83.33333333333334
1126,camions,83.33333333333334
1127,camp,83.33333333333334
1128,capable,83.33333333333334
1129,casquette,83.33333333333334
1130,cassée,83.33333333333334
1131,cendrier,83.33333333333334
1132,centaines,83.33333333333334
1133,cependant,83.33333333333334
1134,certain,83.33333333333334
1135,certaine,83.33333333333334
1136,certaines,83.33333333333334
1137,cessé,83.33333333333334
1138,chaise,83.33333333333334
1139,chaleur,83.33333333333334
1140,chambres,83.33333333333334
1141,champs,83.33333333333334
1142,change,83.33333333333334
1143,changeait,83.33333333333334
1144,chanter,83.33333333333334
1145,chapeau,83.33333333333334
1146,chargée,83.33333333333334
1147,chaude,83.33333333333334
1148,chauffeur,83.33333333333334
1149,chaussures,83.33333333333334
1150,chef,83.33333333333334
1151,cheminée,83.33333333333334
1152,chercha,83.33333333333334
1153,cherchait,83.33333333333334
1154,cherchant,83.33333333333334
1155,cherche,83.33333333333334
1156,cheval,83.33333333333334
1157,chien,83.33333333333334
1158,choisi,83.33333333333334
1159,choisit,83.33333333333334
1160,cigarette,83.33333333333334
1161,ciment,83.33333333333334
1162,claire,83.33333333333334
1163,clef,83.33333333333334
1164,client,83.33333333333334
1165,clients,83.33333333333334
1166,collègue,83.33333333333334
1167,commanda,83.33333333333334
1168,commencent,83.33333333333334
1169,commencer,83.33333333333334
1170,commencé,83.33333333333334
1171,commença,83.33333333333334
1172,compagnon,83.33333333333334
1173,complet,83.33333333333334
1174,comprit,83.33333333333334
1175,conduire,83.33333333333334
1176,conduisait,83.33333333333334
1177,confiance,83.33333333333334
1178,connaissent,83.33333333333334
1179,connaissez,83.33333333333334
1180,connaît,83.33333333333334
1181,considérait,83.33333333333334
1182,contenait,83.33333333333334
1183,content,83.33333333333334
1184,continua,83.33333333333334
1185,continuait,83.33333333333334
1186,continuer,83.33333333333334
1187,convenu,83.33333333333334
1188,conversation,83.33333333333334
1189,corde,83.33333333333334
1190,couche,83.33333333333334
1191,couché,83.33333333333334
1192,couleur,83.33333333333334
1193,couleurs,83.33333333333334
1194,couple,83.33333333333334
1195,couraient,83.33333333333334
1196,courses,83.33333333333334
1197,courte,83.33333333333334
1198,courtes,83.33333333333334
1199,couteau,83.33333333333334
1200,cravate,83.33333333333334
1201,cria,83.33333333333334
1202,criait,83.33333333333334
1203,crier,83.33333333333334
1204,crise,83.33333333333334
1205,croit,83.33333333333334
1206,croyais,83.33333333333334
1207,croyait,83.33333333333334
1208,croyez,83.33333333333334
1209,cuivre,83.33333333333334
1210,curieuse,83.33333333333334
1211,curiosité,83.33333333333334
1212,côte,83.33333333333334
1213,dame,83.33333333333334
1214,dedans,83.33333333333334
1215,delà,83.33333333333334
1216,demanda,83.33333333333334
1217,demandait,83.33333333333334
1218,derniers,83.33333333333334
1219,descendait,83.33333333333334
1220,descendit,83.33333333333334
1221,descendre,83.33333333333334
1222,devaient,83.33333333333334
1223,devenue,83.33333333333334
1224,devez,83.33333333333334
1225,devient,83.33333333333334
1226,devinait,83.33333333333334
1227,différence,83.33333333333334
1228,dirigea,83.33333333333334
1229,disais,83.33333333333334
1230,discrètement,83.33333333333334
1231,dise,83.33333333333334
1232,disparu,83.33333333333334
1233,distance,83.33333333333334
1234,dizaine,83.33333333333334
1235,docteur,83.33333333333334
1236,doigt,83.33333333333334
1237,doivent,83.33333333333334
1238,domestique,83.33333333333334
1239,domestiques,83.33333333333334
1240,donnait,83.33333333333334
1241,dormait,83.33333333333334
1242,douter,83.33333333333334
1243,douze,83.33333333333334
1244,drame,83.33333333333334
1245,dressait,83.33333333333334
1246,dur,83.33333333333334
1247,dut,83.33333333333334
1248,débarrasser,83.33333333333334
1249,découvert,83.33333333333334
1250,découvre,83.33333333333334
1251,défi,83.33333333333334
1252,déjeuner,83.33333333333334
1253,démarche,83.33333333333334
1254,déplacer,83.33333333333334
1255,désagréable,83.33333333333334
1256,désert,83.33333333333334
1257,désigna,83.33333333333334
1258,désignait,83.33333333333334
1259,désire,83.33333333333334
1260,désordre,83.33333333333334
1261,détourna,83.33333333333334
1262,dîner,83.33333333333334
1263,endormir,83.33333333333334
1264,engager,83.33333333333334
1265,ennemis,83.33333333333334
1266,ennuis,83.33333333333334
1267,enquête,83.33333333333334
1268,entendait,83.33333333333334
1269,entendez,83.33333333333334
1270,entendit,83.33333333333334
1271,entends,83.33333333333334
1272,entra,83.33333333333334
1273,entrer,83.33333333333334
1274,entretien,83.33333333333334
1275,entré,83.33333333333334
1276,envoyer,83.33333333333334
1277,espace,83.33333333333334
1278,espèce,83.33333333333334
1279,espère,83.33333333333334
1280,espérait,83.33333333333334
1281,essayait,83.33333333333334
1282,essayé,83.33333333333334
1283,eut,83.33333333333334
1284,expliquait,83.33333333333334
1285,expression,83.33333333333334
1286,exprès,83.33333333333334
1287,eût,83.33333333333334
1288,facile,83.33333333333334
1289,faisaient,83.33333333333334
1290,faisait,83.33333333333334
1291,fallait,83.33333333333334
