,raw-words,in%texts
0,A,100.0
1,Ah,100.0
2,Allez,100.0
3,Alors,100.0
4,Après,100.0
5,Au,100.0
6,Avant,100.0
7,Avec,100.0
8,Bien,100.0
9,Bon,100.0
10,C,100.0
11,Ce,100.0
12,Cela,100.0
13,Celle,100.0
14,Celui,100.0
15,Certains,100.0
16,Cet,100.0
17,Cette,100.0
18,Ceux,100.0
19,Chaque,100.0
20,Comme,100.0
21,Comment,100.0
22,D,100.0
23,Dans,100.0
24,De,100.0
25,Depuis,100.0
26,Deux,100.0
27,Dieu,100.0
28,Dis,100.0
29,Donc,100.0
30,Du,100.0
31,Dès,100.0
32,Déjà,100.0
33,Eh,100.0
34,Elle,100.0
35,En,100.0
36,Encore,100.0
37,Enfin,100.0
38,Ensuite,100.0
39,Entre,100.0
40,Est,100.0
41,Et,100.0
42,Il,100.0
43,Ils,100.0
44,J,100.0
45,Jamais,100.0
46,Je,100.0
47,Jusqu,100.0
48,L,100.0
49,La,100.0
50,Le,100.0
51,Les,100.0
52,Lui,100.0
53,M,100.0
54,Ma,100.0
55,Mais,100.0
56,Malgré,100.0
57,Moi,100.0
58,Mon,100.0
59,Même,100.0
60,N,100.0
61,Non,100.0
62,On,100.0
63,Or,100.0
64,Ou,100.0
65,Oui,100.0
66,Par,100.0
67,Parce,100.0
68,Pardon,100.0
69,Pas,100.0
70,Pendant,100.0
71,Personne,100.0
72,Peu,100.0
73,Plus,100.0
74,Pour,100.0
75,Pourtant,100.0
76,Puis,100.0
77,Qu,100.0
78,Quant,100.0
79,Que,100.0
80,Quel,100.0
81,Quelques,100.0
82,Qui,100.0
83,Rien,100.0
84,S,100.0
85,Sa,100.0
86,Saint,100.0
87,Sans,100.0
88,Ses,100.0
89,Si,100.0
90,Son,100.0
91,Sur,100.0
92,Tant,100.0
93,Toujours,100.0
94,Tous,100.0
95,Tout,100.0
96,Toutes,100.0
97,Trois,100.0
98,Tu,100.0
99,Un,100.0
100,Une,100.0
101,Voilà,100.0
102,Vous,100.0
103,XXXXXXXX,100.0
104,a,100.0
105,abord,100.0
106,accident,100.0
107,acheter,100.0
108,affaire,100.0
109,affaires,100.0
110,ai,100.0
111,aide,100.0
112,ailleurs,100.0
113,aime,100.0
114,ainsi,100.0
115,air,100.0
116,airs,100.0
117,aise,100.0
118,allait,100.0
119,aller,100.0
120,allons,100.0
121,allé,100.0
122,allée,100.0
123,alors,100.0
124,ami,100.0
125,an,100.0
126,annoncer,100.0
127,année,100.0
128,années,100.0
129,ans,100.0
130,apercevoir,100.0
131,appareil,100.0
132,appeler,100.0
133,appelle,100.0
134,appelé,100.0
135,apprendre,100.0
136,après,100.0
137,après_midi,100.0
138,arbres,100.0
139,argent,100.0
140,arrivait,100.0
141,arrive,100.0
142,arriver,100.0
143,arrivé,100.0
144,arrivée,100.0
145,arrière,100.0
146,as,100.0
147,asseoir,100.0
148,assez,100.0
149,assis,100.0
150,atmosphère,100.0
151,attend,100.0
152,attendait,100.0
153,attendre,100.0
154,attente,100.0
155,attention,100.0
156,au,100.0
157,aucun,100.0
158,aucune,100.0
159,aujourd_hui,100.0
160,aura,100.0
161,aurait,100.0
162,aussi,100.0
163,autant,100.0
164,autour,100.0
165,autre,100.0
166,autres,100.0
167,aux,100.0
168,avaient,100.0
169,avais,100.0
170,avait,100.0
171,avant,100.0
172,avec,100.0
173,avez,100.0
174,avis,100.0
175,avoir,100.0
176,ayant,100.0
177,balle,100.0
178,banc,100.0
179,bas,100.0
180,beau,100.0
181,beaucoup,100.0
182,belle,100.0
183,besoin,100.0
184,bien,100.0
185,bientôt,100.0
186,bière,100.0
187,blanc,100.0
188,blanche,100.0
189,blessure,100.0
190,bleu,100.0
191,boire,100.0
192,bois,100.0
193,bon,100.0
194,bonne,100.0
195,bord,100.0
196,bout,100.0
197,bras,100.0
198,bruit,100.0
199,bruits,100.0
200,brune,100.0
201,c,100.0
202,calme,100.0
203,camion,100.0
204,campagne,100.0
205,car,100.0
206,cas,100.0
207,cause,100.0
208,ce,100.0
209,cela,100.0
210,celle,100.0
211,celles,100.0
212,celui,100.0
213,cent,100.0
214,centre,100.0
215,cents,100.0
216,certains,100.0
217,ces,100.0
218,cesse,100.0
219,cet,100.0
220,cette,100.0
221,ceux,100.0
222,chacun,100.0
223,chambre,100.0
224,chance,100.0
225,changer,100.0
226,changé,100.0
227,chaque,100.0
228,chargé,100.0
229,chaud,100.0
230,chemin,100.0
231,chemise,100.0
232,chercher,100.0
233,chevaux,100.0
234,cheveux,100.0
235,chez,100.0
236,chose,100.0
237,choses,100.0
238,ci,100.0
239,ciel,100.0
240,cigarettes,100.0
241,cinq,100.0
242,cinquante,100.0
243,cinéma,100.0
244,clair,100.0
245,coin,100.0
246,combien,100.0
247,comme,100.0
248,commence,100.0
249,comment,100.0
250,commençait,100.0
251,compagnie,100.0
252,complètement,100.0
253,comprendre,100.0
254,comprends,100.0
255,compris,100.0
256,compte,100.0
257,compter,100.0
258,connais,100.0
259,connaissait,100.0
260,connaître,100.0
261,connu,100.0
262,continue,100.0
263,contraire,100.0
264,contre,100.0
265,corps,100.0
266,cou,100.0
267,coucher,100.0
268,couloir,100.0
269,coup,100.0
270,coups,100.0
271,cour,100.0
272,courant,100.0
273,cours,100.0
274,court,100.0
275,couvert,100.0
276,crainte,100.0
277,croire,100.0
278,crois,100.0
279,cru,100.0
280,cuisine,100.0
281,curieux,100.0
282,côté,100.0
283,cœur,100.0
284,d,100.0
285,d_ailleurs,100.0
286,dans,100.0
287,davantage,100.0
288,de,100.0
289,debout,100.0
290,dehors,100.0
291,demain,100.0
292,demande,100.0
293,demander,100.0
294,demandé,100.0
295,demi,100.0
296,dents,100.0
297,depuis,100.0
298,dernier,100.0
299,dernière,100.0
300,derrière,100.0
301,des,100.0
302,dessus,100.0
303,deux,100.0
304,devait,100.0
305,devant,100.0
306,devenu,100.0
307,devoir,100.0
308,difficile,100.0
309,dimanche,100.0
310,dirait,100.0
311,dire,100.0
312,direction,100.0
