,lower-words,per1000
0,de,36.892326502405446
1,il,25.220135099730026
2,le,23.215282445008942
3,la,22.182479562273837
4,à,18.020891475958855
5,un,16.148936251001476
6,l,15.776823447663093
7,et,15.461666685652013
8,les,13.20241037966897
9,d,12.439199425883103
10,en,12.082274900232001
11,pas,11.292484460493393
12,que,11.007704253856874
13,est,10.867212685249525
14,une,10.225507952961904
15,qu,9.401543888426913
16,des,9.097778334681292
17,qui,8.809201058622955
18,dans,8.630738795797404
19,ne,8.182684604022615
20,vous,8.118134423851671
21,se,8.114337354429852
22,était,7.958657508135221
23,je,7.601732982484119
24,n,7.563762288265917
25,on,7.506806246938613
26,s,7.206837762614814
27,a,6.618292002232677
28,du,6.481597503047149
29,c,6.447423878250766
30,ce,6.405656114610744
31,son,6.34870007328344
32,avait,6.306932309643417
33,au,5.8816605343995505
34,lui,5.695604132730359
35,elle,5.57409791123211
36,pour,5.323491329391975
37,sur,5.312100121126514
38,plus,5.2513470103773905
39,sa,4.556483306184287
40,y,4.233732405329566
41,tout,4.078052559034937
42,par,4.017299448285813
43,comme,3.9869228929112515
44,mais,3.884402018522105
45,avec,3.728722172227475
46,même,2.957917079597966
47,tu,2.897163968848843
48,ses,2.885772760583382
49,ils,2.604789623368684
50,maigret,2.604789623368684
51,sans,2.5592247903068412
52,deux,2.5174570266668184
53,bien,2.494674610135897
54,j,2.433921499386773
55,dit,2.3617771803721888
56,ai,2.2630533754048625
57,si,2.2326768200303007
58,où,2.0997793902665927
59,là,1.9782731687683448
60,autre,1.9554907522374232
61,ou,1.8947376414882995
62,me,1.8833464332228387
63,m,1.8643610861137374
64,peu,1.8491728084264565
65,cette,1.7732314199900518
66,ça,1.7542460728809506
67,puis,1.716275378662748
68,vers,1.7086812398191076
69,rien,1.7010871009754671
70,encore,1.6821017538663658
71,aussi,1.6251457125390625
72,moi,1.5795808794772195
73,faire,1.5492043241026574
74,fait,1.5302189769935564
75,non,1.4960453521971744
76,toujours,1.4884512133535337
77,temps,1.4618717274007922
78,cela,1.4580746579789718
79,nous,1.4239010331825896
80,leur,1.3441625753243647
81,paul,1.3441625753243647
82,t,1.3327713670589039
83,quand,1.317583089371623
84,aux,1.3061918811061621
85,être,1.2454387703570384
86,émile,1.237844631513398
87,porte,1.2340475620915778
88,fois,1.2302504926697575
89,étaient,1.2112651455606562
90,homme,1.2036710067170158
91,john,1.161903243076993
92,après,1.1201354794369704
93,trois,1.093555993484229
94,tous,1.0821647852187681
95,très,1.0707735769533075
96,avez,1.0631794381096669
97,heure,1.0631794381096669
98,quelques,1.047991160422386
99,petit,1.0441940910005658
100,car,1.0290058133132847
101,dire,1.0100204662041836
102,commissaire,1.0062233967823633
103,devant,1.0062233967823633
104,femme,1.002426327360543
105,autres,0.9796439108296217
106,avant,0.9796439108296217
107,chose,0.9720497719859812
108,sous,0.9720497719859812
109,trop,0.968252702564161
110,été,0.968252702564161
111,air,0.9606585637205205
112,va,0.9340790777677789
113,ces,0.9188908000804978
114,sais,0.9188908000804978
115,ducrau,0.9074995918150371
116,maison,0.9037025223932169
117,chez,0.8999054529713967
118,quelque,0.8733259670186551
119,main,0.8657318281750145
120,pons,0.8657318281750145
121,moins,0.8619347587531943
122,voir,0.8619347587531943
123,jamais,0.8543406199095538
124,suis,0.8467464810659133
125,mon,0.8353552728004525
126,charles,0.8315582033786323
127,monde,0.8239640645349919
128,toute,0.8239640645349919
129,ans,0.8201669951131717
130,entre,0.8125728562695312
131,déjà,0.808775786847711
132,sont,0.8011816480040704
133,avoir,0.7973845785822502
134,voix,0.79358750916043
135,moment,0.7897904397386097
136,près,0.7897904397386097
137,dont,0.7859933703167895
138,curly,0.778399231473149
139,alors,0.7708050926295085
