idno,author-name,author-gender,book-title,pub-year
rv0097,Simenon,male,RicheHomme,1970
rv0013,Simenon,male,VeriteBebeDonge,1942
rv0170,Verne,male,InvasionMer,1905
rv0522,Manotti,male,SombreSentier,1995
rv1096,Vargas,female,JeuxAmourMort,1986
rv1098,Vargas,female,VentsNeptune,2004
rv0145,Mirbeau,male,JournalFemmeChambre,1900
rv0501,Celine,male,GuignolsBand1,1944
rv0069,Simenon,male,QuartierNegre,1935
rv0500,Celine,male,ChateauLAutre,1957
rv0395,LeRouge,male,MysterieuxDrCornelius2,1913
rv0683,Amila,male,PitieRats,1964
rv0228,Modiano,male,Inconnues,1999
rv0790,Verne,male,ChasseMeteoreV2,1908
rv0182,Beckett,male,Molloy,1951
rv0025,Simenon,male,MonsieurGallet,1931
rv0517,Toussaint,male,SalleBain,1985
rv0775,Rolland,male,JeanChristophe05,1908
rv1203,Dard,male,Accident,1961
rv0388,LeRouge,male,AventuresToddMarvel2,1923
rv0158,Proust,male,GuermantesR3c,1920
rv0205,Viel,male,Perfection,2001
rv1196,Dard,male,TrempePain,1999
rv0195,RobbeGrillet,male,Jalousie,1957
rv0682,Pennac,male,Malaussene3PetiteMarchande,1989
rv0236,Modiano,male,RueBoutiques,1978
rv1244,Daeninckx,male,FacteurFatal,1990
rv0801,Nothomb,female,CrimeComteNeville,2015
rv0535,Pecherot,male,SoleilNoir,2007
rv0715,Colette,female,VrillesVigne,1908
rv0854,Proust,male,JeunesFillesR2b,1913
rv0690,Khadra,male,DoubleBlanc,1998
rv0173,Verne,male,NaufragesJonathan,1909
rv1258,BoilNarc,male,VisagesOmbre,1953
rv0229,Modiano,male,Dimanches,1986
rv1273,Khadra,male,Revent,1999
rv1190,Dard,male,ValsezPouffiasses,1989
rv0186,Simon,male,Georgiques,1981
rv1011,Daeninckx,male,Galadio,2010
rv0180,Beckett,male,Malone,1951
rv0806,Pelot,male,JeSuisLaBrume,1973
rv1269,BoilNarc,male,Maldonne,1962
rv0708,Colette,female,IngenueLibertine,1909
rv0224,Bernanos,male,SoleilSatan,1926
rv1077,Pouy,male,MilleDeuxCent,2000
rv1243,Daeninckx,male,DerDesDers,1984
rv0210,Viel,male,ParisBrest,2009
rv0792,Nothomb,female,TuerPere,2011
rv0678,Pennac,male,Malaussene4MonsieurM,1995
rv1270,Izzo,male,Chourmo,1996
rv0122,Echenoz,male,Equipee,1986
rv1109,Dard,male,CeciPipe,1999
rv1234,Echenoz,male,MeridienGreenwich,1979
rv0391,LeRouge,male,AventuresToddMarvel1,1923
rv1252,BoilNarc,male,IngenieurChiffres,1958
rv0187,Simon,male,Palace,1962
rv0585,SouvAllain,male,JuveFantomas,1911
rv1126,Leroux,male,HommeRevientLoin,1917
rv1149,Leblanc,male,FemmeDeuxSourires,1933
rv0700,LeClezio,male,ChercheurOr,1985
rv0504,Giono,male,SolitudePitie,1932
rv1136,Malet,male,PasDeBavards,1956
rv0551,Pecherot,male,Tiurai,1996
rv0495,Tournier,male,RoiAulnes,1970
rv0514,Khadra,male,CousineK,2003
rv1224,Malet,male,Cite,1950
rv0559,Camus,male,Etranger,1942
rv0552,Queneau,male,PierrotMonAmi,1942
rv0506,Butor,male,Modification,1957
rv1241,Daeninckx,male,Bourreau,1986
rv1246,Daeninckx,male,LumiereNoire,1987
rv0745,Leroux,male,ReineSabbat,1911
rv1040,Leblanc,male,ChapeletRouge,1934
rv0321,Allais,male,Boomerang,1912
rv1225,Malet,male,GangMysterieux,1952
rv0361,Galopin,male,MemoiresCambrioleur,1922
rv0695,Perec,male,HommeQuiDort,1967
rv0785,Verne,male,BoursesVoyage,1903
rv1103,Dard,male,MoiVousConnaissez,1971
rv1105,Dard,male,HommagesDonzelle,1952
rv0536,Celine,male,GuignolsBand2,1944
rv0389,LeRouge,male,DameNoire,1923
rv1063,Malet,male,DroleEpreuve,1968
rv1100,Dard,male,AlicePaysMerguez,1986
rv0150,Ravey,male,BureauIllettres,1992
rv0061,Simenon,male,LibertyBar,1932
rv0665,Ryck,male,Incroyant,1970
rv1075,Manchette,male,PrincesseSang,1996
rv0203,Perec,male,Choses,1965
rv0855,Proust,male,JeunesFillesR2c,1913
rv1121,Leroux,male,ParfumDameNoir,1908
rv0227,NDiaye,female,TroisFemmes,2009
rv0696,LeClezio,male,ProcesVerbal,1963
rv0772,Rolland,male,JeanChristophe02,1904
rv1227,Malet,male,Brouillard,1956
rv0045,Simenon,male,Prison,1967
rv0714,Colette,female,Toutounier,1939
rv0660,Ryck,male,HeuresOuvrables,1963
rv0189,Simon,male,Bataille,1969
rv1033,Japrisot,male,CourseLievre,1972
rv0527,Bon,male,Limite,1985
rv1054,Leroux,male,MystereChambre,1907
rv1056,Leroux,male,Tenebreuses2SangNeva,1925
rv1133,Malet,male,SoleilNait,1954
rv0666,Ryck,male,IntentionsPacifiques,1977
rv0223,Bernanos,male,Mouchette,1937
rv0545,VianSullivan,male,MortMemePeau,1947
rv1031,Japrisot,male,DameAuto,1966
rv0584,SouvAllain,male,VoleurOr,1913
rv0703,Colette,female,ClaudineMenage,1902
rv0743,Leroux,male,EtrangesNoces,1916
rv0126,Echenoz,male,UnAn,1975
rv1038,Leblanc,male,BouchonCristal,1912
rv0507,Khadra,male,HirondellesKaboul,2002
rv0555,Pecherot,male,HommeCarabine,2011
rv0159,Proust,male,SodomeR4a,1921
rv0850,Verne,male,MaitreMonde,1904
rv1205,Dard,male,PainFossoyeurs,1956
rv0779,Rolland,male,JeanChristophe09,1911
rv0550,Queneau,male,RudeHiver,1939
rv0744,Leroux,male,RouletabilleBohémiens,1922
rv0029,Simenon,male,MaigretNewYork,1947
rv0093,Simenon,male,DisparitionOdile,1971
rv0851,Proust,male,CombrayR1a,1913
rv0221,Duras,female,JourneesEntieres,1954
rv0191,Simon,male,Tramway,2001
rv0492,Malraux,male,Espoir,1937
rv0033,Simenon,male,TeteHomme,1931
rv0493,Giono,male,GrandsChemins,1951
rv0499,Tournier,male,Gaspard,1980
rv0583,SouvAllain,male,CadavreGeant,1913
rv0190,Simon,male,Herbe,1958
rv0218,Duras,female,PetitsChevaux,1953
rv0770,MduGard,male,Thibault8,1940
rv0773,Rolland,male,JeanChristophe03,1904
rv1206,Dard,male,TueurTriste,1958
rv1228,Malet,male,Ossements,1957
rv0677,Amila,male,BonneTisane,1955
rv0234,Modiano,male,QuartierPerdu,1984
rv0762,MduGard,male,Thibault1,1922
rv0397,LeRouge,male,Conspiration3,1900
rv1071,Manchette,male,Nada,1972
rv1035,Japrisot,male,Piège pour Cendrillon,1963
rv0160,Proust,male,SodomeR4c,1921
rv0238,Modiano,male,Jeunesse,1981
rv0235,Modiano,male,RemisePeine,1988
rv0489,Giono,male,GrandTroupeau,1931
rv1142,Leblanc,male,TroisYeux,1919
rv0164,Proust,male,TempsRetrouveR7a,1927
rv0530,Bon,male,FaitDivers,1994
rv0213,Duras,female,BarragePacifique,1950
rv1030,Japrisot,male,AdieuAmi,1968
rv0387,LeRouge,male,PrisonnierMars,1908
rv1070,Manchette,male,MorguePleine,1973
rv1095,Vargas,female,HommeEnvers,1999
rv0494,Malraux,male,NoyersAltenburg,1943
rv0558,Camus,male,Chute,1956
rv0764,MduGard,male,Thibault3,1923
rv1097,Vargas,female,LieuIncertain,2008
rv0575,Roussel,male,LocusSolus,1914
rv0537,Giono,male,Angelo,1958
rv1221,Malet,male,HommeSangBleu,1942
rv0226,NDiaye,female,Ladivine,2013
rv1081,Pouy,male,PetiteEcuyere,1995
rv0853,Proust,male,JeunesFillesR2a,1913
rv0125,Echenoz,male,Quatorze,2012
rv0670,Ryck,male,FeuVertPoissonsRouges,1967
rv0528,Bon,male,Mecanique,2001
rv0237,Modiano,male,CirquePasse,1992
rv0518,Toussaint,male,AppareilPhoto,1988
rv0587,SouvAllain,male,EvadeeSaintLazare,1912
rv0400,LeRougeGuitton,male,PrincesseAirs2,1902
rv0800,Nothomb,female,FaitPrince,2008
rv0578,SouvAllain,male,MainCoupee,1911
rv1019,Daeninckx,male,RouteRom,2003
rv0198,RobbeGrillet,male,Souvenirs,1978
rv0765,MduGard,male,Thibault4,1928
rv1139,Malet,male,EnvahissantCadavre,1959
rv0166,Perec,male,Vie,1978
rv1249,Daeninckx,male,ChateauBoheme,1994
rv0204,Viel,male,Insoupçonnable,2006
rv0049,Simenon,male,Locataire,1934
rv1192,Dard,male,ReglezLuiCompte,1949
rv1045,Leblanc,male,MillardsLupin,1941
rv0153,Ravey,male,Drap,2003
rv0533,Pecherot,male,Tranchecaille,2008
rv0487,Giono,male,HussardToit,1951
rv0233,Modiano,male,Boulevards,1972
rv0532,Pecherot,male,BoulevardBranques,2005
rv1272,Izzo,male,Solea,1998
rv0674,Pennac,male,Malaussene5ChretiensMaures,1996
rv1016,Daeninckx,male,MortNOublie,1989
rv0510,Khadra,male,Attentat,2005
rv0769,MduGard,male,Thibault7b,1936
rv1132,Malet,male,Macchabee,1949
rv0799,Nothomb,female,SabotageAmoureux,1993
rv1260,BoilNarc,male,Poudriere,1987
rv1043,Leblanc,male,HuitCoups,1923
rv0698,LeClezio,male,EtoileErrante,1992
rv0206,Audoux,female,MarieClaire,1910
rv0774,Rolland,male,JeanChristophe04,1905
rv0582,SouvAllain,male,FaiseurReines,1913
rv0196,RobbeGrillet,male,Marienbad,1961
rv0748,Loti,male,PrimeJeunesse,1919
rv0077,Simenon,male,NouveauVille,1950
rv0519,Toussaint,male,Television,1997
rv0239,Modiano,male,Vestiaire,1989
rv0808,Pelot,male,BruitAutres,1985
rv1229,Malet,male,RebeccaRosiers,1957
rv0184,Simon,male,Histoire,1967
rv1222,Malet,male,AubergeBanlieue,1945
rv1013,Daeninckx,male,JeTue,2003
rv0807,Pelot,male,BonheurSardines,1993
rv0497,Tournier,male,Meteores,1975
rv0241,Modiano,male,VoyageNoces,1990
rv1106,Dard,male,SanAntonioMac,1961
rv0123,Echenoz,male,Blondes,1995
rv0669,Ryck,male,CimetiereDurs,1968
rv1250,BoilNarc,male,OmbreProie,1951
rv0780,Rolland,male,JeanChristophe10,1912
rv0005,Simenon,male,JumentPerdue,1948
rv0216,Duras,female,YeuxBleus,1986
rv1050,Leroux,male,Tenebreuses1FinMonde,1924
rv0513,Toussaint,male,Fuir,2005
rv0381,LeRouge,male,ValleeDesespoir,1928
rv1076,Manchette,male,QuedOs,1976
rv0188,Simon,male,Acacia,1989
rv0664,Ryck,male,PeauTorpedo,1968
rv1066,Malet,male,Soleil,1949
rv1010,Daeninckx,male,CrimeSaintAdresse,2004
rv1198,Dard,male,Concerto,1976
rv0491,Malraux,male,ConditionHumaine,1933
rv0771,Rolland,male,JeanChristophe01,1904
rv1187,Vargas,female,SansFeu,1997
rv0183,Beckett,male,Murphy,1947
rv0795,Nothomb,female,Peplum,1996
rv0797,Nothomb,female,VoyageHiver,2009
rv1141,Leblanc,male,IleTrenteCercueils,1920
